Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
10/1/2018,90000,<2006,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,55
10/1/2018,90000,<2006,Diesel and Diesel Hybrid,WHITE,Heavy,19
10/1/2018,90000,<2006,Battery Electric,OTHER/UNK,Heavy,4
10/1/2018,90000,<2006,Gasoline,OTHER/UNK,Heavy,55
10/1/2018,90001,2006,Diesel and Diesel Hybrid,FORD,Heavy,16
10/1/2018,90001,2006,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,23
10/1/2018,90001,2006,Gasoline,OTHER/UNK,Heavy,8
10/1/2018,90001,2007,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,27
10/1/2018,90001,2007,Gasoline,OTHER/UNK,Heavy,3
10/1/2018,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,56
10/1/2018,90001,2008,Gasoline,OTHER/UNK,Heavy,4
10/1/2018,90001,2009,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,28
10/1/2018,90001,2009,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,30
10/1/2018,90001,2009,Gasoline,OTHER/UNK,Heavy,2
10/1/2018,90001,2009,Natural Gas,OTHER/UNK,Heavy,2
10/1/2018,90001,2010,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,27
10/1/2018,90001,2011,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,13
10/1/2018,90001,2011,Diesel and Diesel Hybrid,INTERNATIONAL,Heavy,12
10/1/2018,90001,2011,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,22
10/1/2018,90001,2011,Flex-Fuel,OTHER/UNK,Heavy,4
10/1/2018,90001,2012,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,23
10/1/2018,90001,2012,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,32
10/1/2018,90001,2012,Flex-Fuel,OTHER/UNK,Heavy,1
10/1/2018,90001,2012,Gasoline,OTHER/UNK,Heavy,1
10/1/2018,90001,2013,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,27
10/1/2018,90001,2013,Gasoline,OTHER/UNK,Heavy,1
10/1/2018,90001,2014,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,12
10/1/2018,90001,2014,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,13
10/1/2018,90001,2014,Flex-Fuel,OTHER/UNK,Heavy,2
10/1/2018,90001,2014,Gasoline,OTHER/UNK,Heavy,3
10/1/2018,90001,2015,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,14
10/1/2018,90001,2015,Flex-Fuel,OTHER/UNK,Heavy,2
10/1/2018,90001,2015,Gasoline,OTHER/UNK,Heavy,2
10/1/2018,90001,2016,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,16
10/1/2018,90001,2016,Gasoline,OTHER/UNK,Heavy,3
10/1/2018,90001,2017,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,12
10/1/2018,90001,2017,Gasoline,OTHER/UNK,Heavy,4
10/1/2018,90001,2018,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,5
10/1/2018,90001,2018,Flex-Fuel,OTHER/UNK,Heavy,1
10/1/2018,90001,2018,Gasoline,OTHER/UNK,Heavy,1
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,CHEVROLET,Heavy,19
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,FORD,Heavy,37
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,FREIGHTLINER,Heavy,41
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,GMC,Heavy,17
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,INTERNATIONAL,Heavy,56
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,ISUZU,Heavy,29
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,OTHER/UNK,Heavy,55
10/1/2018,90001,<2006,Diesel and Diesel Hybrid,PETERBILT,Heavy,11
10/1/2018,90001,<2006,Flex-Fuel,OTHER/UNK,Heavy,1
10/1/2018,90001,<2006,Gasoline,CHEVROLET,Heavy,52
10/1/2018,90001,<2006,Gasoline,FORD,Heavy,56
10/1/2018,90001,<2006,Gasoline,GMC,Heavy,36
10/1/2018,90001,<2006,Gasoline,ISUZU,Heavy,17
